acctsessionid,acctstarttime,upload,download,acctsessiontime,callingstationid,calledstationid,calledstation_ssid
0,fbfe95a31b975faa4b79968f95d834f2204ff050c4cb174fc2222ce906378b2a,2024-09-18 14:00:00,0,0,0.0,412a9bf588f4a609cd8e4c8fc8b69482d6f69079f274de5f467f83e95b181883,e0c8b4c72e48ff3726f36a987f29bab9b3d718646b3a6e7add248afb5fad4e67,eduroam
1,7330b1f18b414f72c4895700952fb9f2f5aa4cd3c15369f7b030466fa65d2354,2024-09-18 13:00:00,0,0,0.0,d5f9cf3d6db078eec48f1f235072ddcec82917cf70aca70543d1a6bff104db5f,7b85b2daca64da5d39240d583c6097589a9a5dab4215b0d496e605425549b725,eduroam
2,8efbb33c1a4b95f434e75cde462caea6dfdf964631744fb886e1d82542af66ba,2024-09-12 07:00:00,0,0,6.0,a1b5475191cbe73bff8f88915727f64975a0fd3927337fbc54d21704234ddafd,bac16ce82d2706d6346e3929a1a46b4fa8c23af51daa82a3ca189303fee577bb,Porto. Free Wi-Fi
3,429785416485c487d271060e329442b10e1b965621dc17db3160a30f0923cfbc,2024-09-12 01:00:00,2,30,32.0,67004872f49151a450a1a06a7b2e9759f247cc87c718fb264782dd56d4155019,a624b94f6637ac8e51fab1d1d6bc1eca5c8949e4e57783ed2b1d95da5a477902,eduroam
4,147932564d4a91bdf901570a3f379158e0efe674ac55d40a9e343ff0140f3ce5,2024-09-12 02:00:00,0,1,6.0,8fead2e516c0315a13d8a826ee4f0c1e74a256d689a895f553657655bfb09fac,610f3720cc37d9195ab25e780f36690113624f19039fecbe5e5f802a353eb889,eduroam
5,5109bdc480b7e02f4c589b9464c212dd7cb0a58d2f451e875b0c8789a9033dfb,2024-09-12 04:00:00,0,0,4.0,5b3444cee9d208d16b9e37d45618da574e34a099c58ebd330e11d02633e2b6b3,4478da52949880faf96f52de1c6a97ec73f8980735d59009708c43ce3238fe97,eduroam
6,376bf4124574ee11e5036d193411468f90185ca1fb8ded11bcf457ad6fa25f82,2024-09-12 02:00:00,0,0,1.0,2589b76678bc124fbb9a2a5a278ac280711b23fa7d040ebffd379f0160c2fa90,a2ef7a1d5bb66c4a1c6bd5bc8567fb760e9a38f94ae1ca099231e19ea729c09b,eduroam
7,7e247fd494ac5ec4c9f076a1e4628cd5837e619f07e0bd5f59e496693b37c17d,2024-09-12 07:00:00,0,0,122690.0,30519f9ec479c213fba27de8cecabbe743561ba61de0ac9e253e5c8b60a8ac78,3c3d76861294fc3cc91f24bb4371475d70d7c031098fb67fbdcd063fe5ebe4c5,Porto. Free Wi-Fi
8,ce61d7deda01f237a051aa2dd47ad0f312eabbc88f6044fa2bfdd09051f4d67b,2024-09-18 13:00:00,1,11,13.0,df1edd77e7260f75aa089a163c65378aef54fd724f8a9899e381be29dc2b7801,5af1d341577cfe5b6b1372e77a8671d38e705b215108ef02f974cfda95f6f6a8,eduroam
9,30ef8f67975d8c6f61f17793de733426e9d259a2620dfd299898b95fa52987d0,2024-09-12 05:00:00,1,20,5.0,4fcee32e0202dd8bd511817b5ac92d2a15d4eb7e71d198a3734fef329563c253,7098d542da8d31155917668e73784783715228171387e1fd33ca712016827663,Porto. Free Wi-Fi
10,d8eb2d1c308c670c9bbb3831bbb7f95d4d7cc72117a509ffe3706d682e00c106,2024-09-18 13:00:00,0,0,0.0,721044da2499f5915c622045e9e32c9bc8dec18fd5f31cbb04bc6d280bbe46e7,b2db1483d4b964ef35025f023ec5c710ac90f593e025e8e980396531cf1f7fa0,eduroam
